Target,Model Variant,Feature Set,Scope Type,Scope,Rows,Positive Count,Prevalence,ROC AUC,Average Precision,Brier Score,Brier Benchmark Score,Brier Skill Score vs Training Prior,Log Loss,Accuracy at 0.50,Precision at 0.50,Recall at 0.50,Specificity at 0.50,F1 at 0.50
JOINT_T2,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,EVALUATION_YEAR,2020,760,278,0.365789473684,0.584786113018,0.427519298745,0.278801475965,0.242621423045,-0.149121427389,0.931656995299,0.630263157895,0.4,0.0215827338129,0.98132780083,0.0409556313993
JOINT_T2,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,EVALUATION_YEAR,2021,1407,384,0.272921108742,0.668155852884,0.42751243432,0.200452115044,0.198478401382,-0.00994422389216,0.623254172543,0.733475479744,0.764705882353,0.0338541666667,0.996089931574,0.0648379052369
JOINT_T2,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,EVALUATION_YEAR,2022,895,131,0.146368715084,0.624545381879,0.261432114069,0.14787514938,0.140424412634,-0.0530586997391,0.465464507641,0.815642458101,0.326530612245,0.24427480916,0.913612565445,0.279475982533
JOINT_T2,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,EVALUATION_YEAR,2023,1024,254,0.248046875,0.580565497495,0.342724858531,0.18753284748,0.186703156125,-0.00444390642243,0.577761191121,0.7578125,0.65,0.0511811023622,0.990909090909,0.0948905109489
JOINT_T2,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,EVALUATION_YEAR,2024,1149,261,0.227154046997,0.576244347796,0.302877683622,0.182600455731,0.176545642202,-0.0342960236984,0.582565851214,0.774586597041,0.571428571429,0.0306513409962,0.993243243243,0.0581818181818
JOINT_T2,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,EVALUATION_YEAR,2025,687,127,0.184861717613,0.566732283465,0.295156076372,0.158716841402,0.155869936185,-0.0182646204042,0.541624032882,0.806404657933,0.40625,0.102362204724,0.966071428571,0.163522012579
JOINT_T2,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,EVALUATION_YEAR,2026,255,52,0.203921568627,0.772641151951,0.496062527903,0.133872628015,0.164798704243,0.187659705031,0.430248346643,0.811764705882,0.642857142857,0.173076923077,0.975369458128,0.272727272727
JOINT_T2,LOGIT_RULE,FS1_RULE_SUMMARY,EVALUATION_YEAR,2016,525,99,0.188571428571,0.445606297719,0.162008958774,0.165244428668,0.159543935919,-0.0357299242784,0.514650537771,0.811428571429,0,0,1,0
JOINT_T2,LOGIT_RULE,FS1_RULE_SUMMARY,EVALUATION_YEAR,2017,1214,447,0.368204283361,0.557313861204,0.426802968831,0.240289395508,0.24495069892,0.0190295575094,0.676074418293,0.631795716639,0,0,1,0
JOINT_T2,LOGIT_RULE,FS1_RULE_SUMMARY,EVALUATION_YEAR,2018,789,163,0.206590621039,0.553783884435,0.239218178644,0.166733223855,0.16919641626,0.0145581830844,0.51562496394,0.793409378961,0,0,1,0
JOINT_T2,LOGIT_RULE,FS1_RULE_SUMMARY,EVALUATION_YEAR,2019,732,110,0.150273224044,0.435559777843,0.127635434379,0.145261093114,0.142569144009,-0.0188817091045,0.470940831408,0.849726775956,0,0,1,0
